Released_Year,Certificate,Runtime,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes
2013,UA,123 min,8.1,74,Ron Howard,Daniel Brühl,Chris Hemsworth,Olivia Wilde,Alexandra Maria Lara,432811
2019,UA,152 min,8.1,81,James Mangold,Matt Damon,Christian Bale,Jon Bernthal,Caitriona Balfe,291289
2015,A,129 min,8.1,93,Tom McCarthy,Mark Ruffalo,Michael Keaton,Rachel McAdams,Liev Schreiber,420316
2014,PG,93 min,8.1,85,Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,Fionnula Flanagan,51679
2012,UA,122 min,8.1,,Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui,57806
2011,U,155 min,8.1,,Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif,67927
2013,A,153 min,8.1,70,Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo,601149
2015,UA,120 min,8.1,90,George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,Zoë Kravitz,882316
2008,UA,104 min,8.1,,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Aamir Bashir,73891
2008,R,116 min,8.1,72,Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her,720450
2011,UA,130 min,8.1,85,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon,764493
2008,PG-13,130 min,8.1,68,Yôjirô Takita,Masahiro Motoki,Ryôko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki,48582
2009,G,93 min,8.1,,Lasse Hallström,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer,253575
2009,,92 min,8.1,,Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries,164462
2010,U,98 min,8.1,75,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse,666773
2007,R,148 min,8.1,73,Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden,572921
2007,R,122 min,8.1,91,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin,856916
2006,U,144 min,8.1,,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani,43137
2004,UA,132 min,8.1,86,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel,635975
2004,PG-13,121 min,8.1,79,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali,334320
2004,R,140 min,8.1,64,Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong,37820
2004,R,80 min,8.1,90,Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine Torrès,236311
2003,U,156 min,8.1,,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt,73992
2003,UA,131 min,8.1,82,Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song,139558
2001,Unrated,183 min,8.1,,Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta,66803
2003,R,111 min,8.1,69,Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,1000639
2003,U,100 min,8.1,90,Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould,949565
2002,A,141 min,8.1,75,Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen,832846
2000,A,154 min,8.1,83,Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,Álvaro Guerrero,223741
2001,U,92 min,8.1,79,Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman,815505
1997,UA,87 min,8.1,,Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,Yûko Miyamura,38847
2001,U,224 min,8.1,84,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley,105036
1999,A,107 min,8.1,64,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams,911573
1998,U,169 min,8.1,58,Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,Mélanie Thierry,Bill Nunn,59020
1998,U,103 min,8.1,90,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich,939631
1998,R,127 min,8.1,73,Emir Kusturica,Bajram Severdzan,Srdjan 'Zika' Todorovic,Branka Katic,Florijan Ajdini,50862
1998,R,117 min,8.1,71,Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore,732620
2000,U,98 min,8.1,85,Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung,124383
1996,A,93 min,8.1,83,Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd,634716
1996,A,98 min,8.1,85,Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi,617444
1995,,170 min,8.1,,Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Jokovic,Slavko Stimac,55220
1995,UA,98 min,8.1,,Mathieu Kassovitz,Vincent Cassel,Hubert Koundé,Saïd Taghmaoui,Abdel Ahmed Ghili,150345
1995,U,189 min,8.1,,Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,Farida Jalal,63516
1995,R,101 min,8.1,77,Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno Pöschl,272291
1994,U,99 min,8.1,100,Krzysztof Kieslowski,Irène Jacob,Jean-Louis Trintignant,Frédérique Feder,Jean-Pierre Lorit,90729
1994,U,102 min,8.1,77,Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong,63122
1993,UA,127 min,8.1,68,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,867615
1993,UA,133 min,8.1,84,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King,156842
1993,R,171 min,8.1,,Kaige Chen,Leslie Cheung,Fengyi Zhang,Gong Li,You Ge,25088
1991,PG,125 min,8.1,,Yimou Zhang,Gong Li,Jingwu Ma,Saifei He,Cuifen Cao,29662
1989,U,128 min,8.1,79,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles,425457
1986,U,89 min,8.1,75,Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell,363401
1986,A,120 min,8.1,92,Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David,381222
1984,U,145 min,8.1,78,Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore Clément,91188
1984,U,117 min,8.1,86,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,Gorô Naya,150924
1982,A,109 min,8.1,57,John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur,371271
1982,UA,95 min,8.1,47,Alan Parker,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David,76081
1982,R,158 min,8.1,,Werner Herzog,Klaus Kinski,Claudia Cardinale,José Lewgoy,Miguel Ángel Fuentes,31595
1982,A,188 min,8.1,100,Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,Börje Ahlstedt,57784
1982,UA,117 min,8.1,84,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos,693827
1980,UA,124 min,8.1,78,David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud,220078
1979,R,94 min,8.1,77,Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam,367250
1978,A,183 min,8.1,86,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage,311361
1976,U,120 min,8.1,70,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers,518546
1976,UA,121 min,8.1,83,Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall,144911
1975,PG,185 min,8.1,89,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy Krüger,149843
1975,G,107 min,8.1,,Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev,Oleg Yankovskiy,40081
1974,UA,130 min,8.1,92,Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez,294230
1973,U,102 min,8.1,77,Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman,42285
1972,A,91 min,8.1,,Ingmar Bergman,Harriet Andersson,Liv Ullmann,Kari Sylwan,Ingrid Thulin,30206
1972,PG,167 min,8.1,90,Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,Jüri Järvet,Vladislav Dvorzhetskiy,81021
1967,GP,105 min,8.1,,Jean-Pierre Melville,Alain Delon,François Périer,Nathalie Delon,Cathy Rosier,45434
1967,A,127 min,8.1,92,Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon,161984
1966,,85 min,8.1,86,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar Björnstrand,103191
1966,R,205 min,8.1,,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev,46947
1966,,121 min,8.1,96,Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash,53089
1962,,95 min,8.1,,Luis Buñuel,Silvia Pinal,Jacqueline Andere,Enrique Rambal,José Baviera,29682
1962,Passed,134 min,8.1,75,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy,50058
1962,U,96 min,8.1,,Akira Kurosawa,Toshirô Mifune,Tatsuya Nakadai,Keiju Kobayashi,Yûnosuke Itô,33044
1962,,123 min,8.1,94,John Ford,James Stewart,John Wayne,Vera Miles,Lee Marvin,68827
1962,,95 min,8.1,,Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,Valentin Zubkov,Evgeniy Zharikov,31728
1960,A,89 min,8.1,,Ingmar Bergman,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Birgitta Pettersson,26697
1960,Passed,128 min,8.1,75,Stanley Kramer,Spencer Tracy,Fredric March,Gene Kelly,Dick York,27254
1959,,99 min,8.1,,François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,Guy Decomble,105291
1959,U,212 min,8.1,90,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet,219466
1958,,139 min,8.1,,Akira Kurosawa,Toshirô Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara,34797
1957,,110 min,8.1,,Federico Fellini,Giulietta Masina,François Périer,Franca Marzi,Dorian Gray,42940
1957,,110 min,8.1,,Akira Kurosawa,Toshirô Mifune,Minoru Chiaki,Isuzu Yamada,Takashi Shimura,46678
1957,PG,161 min,8.1,87,David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa,203463
1954,A,108 min,8.1,91,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger,142107
1953,U,131 min,8.1,85,Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli,54588
1951,Approved,111 min,8.1,72,Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall,31568
1949,,114 min,8.1,,Raoul Walsh,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly,29807
1949,Approved,104 min,8.1,97,Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard,158731
1948,,135 min,8.1,,Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer,30935
1940,,99 min,8.1,96,Ernst Lubitsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schildkraut,28450
1940,Approved,130 min,8.1,86,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson,123942
1939,Passed,129 min,8.1,73,Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold,107017
1939,U,238 min,8.1,97,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh,290074
1937,,113 min,8.1,,Jean Renoir,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim,33829
1934,Approved,105 min,8.1,87,Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns,94016
1928,Passed,110 min,8.1,,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley,Maurice Schutz,47676
1928,Passed,72 min,8.1,90,Charles Chaplin,Charles Chaplin,Merna Kennedy,Al Ernest Garcia,Harry Crocker,30205
1927,Passed,94 min,8.1,,F.W. Murnau,George O'Brien,Janet Gaynor,Margaret Livingston,Bodil Rosing,46865
1926,Passed,67 min,8.1,,Clyde Bruckman,Buster Keaton,Buster Keaton,Marion Mack,Glen Cavender,81156
1920,,76 min,8.1,,Robert Wiene,Werner Krauss,Conrad Veidt,Friedrich Feher,Lil Dagover,57428
2018,UA,124 min,8,,Amit Ravindernath Sharma,Ayushmann Khurrana,Neena Gupta,Gajraj Rao,Sanya Malhotra,27978
2019,U,113 min,8,69,Ericson Core,Willem Dafoe,Julianne Nicholson,Christopher Heyerdahl,Richard Dormer,37556
2016,UA,130 min,8,,Raja Menon,Akshay Kumar,Nimrat Kaur,Kumud Mishra,Prakash Belawadi,52897
2015,UA,163 min,8,,Kabir Khan,Salman Khan,Harshaali Malhotra,Nawazuddin Siddiqui,Kareena Kapoor,72245
2015,UA,159 min,8,,Neeraj Pandey,Akshay Kumar,Danny Denzongpa,Rana Daggubati,Taapsee Pannu,52848
2016,A,128 min,8,94,Damien Chazelle,Ryan Gosling,Emma Stone,Rosemarie DeWitt,J.K. Simmons,505918
2016,U,118 min,8,69,Garth Davis,Dev Patel,Nicole Kidman,Rooney Mara,Sunny Pawar,213970
2015,UA,144 min,8,80,Ridley Scott,Matt Damon,Jessica Chastain,Kristen Wiig,Kate Mara,760094
2016,U,108 min,8,78,Byron Howard,Rich Moore,Jared Bush,Ginnifer Goodwin,Jason Bateman,434143
2015,UA,159 min,8,,S.S. Rajamouli,Prabhas,Rana Daggubati,Ramya Krishnan,Sathyaraj,102972
2013,U,137 min,8,89,Isao Takahata,Chloë Grace Moretz,James Caan,Mary Steenburgen,James Marsden,38746
2017,U,113 min,8,66,Stephen Chbosky,Jacob Tremblay,Owen Wilson,Izabela Vidovic,Julia Roberts,141923
2019,UA,154 min,8,65,Zoya Akhtar,Vijay Varma,Nakul Roshan Sahdev,Ranveer Singh,Vijay Raaz,31886
2013,UA,144 min,8,,Neeraj Pandey,Akshay Kumar,Anupam Kher,Manoj Bajpayee,Jimmy Sheirgill,51069
2013,R,96 min,8,82,Destin Daniel Cretton,Brie Larson,Frantz Turner,John Gallagher Jr.,Kaitlyn Dever,81770
2014,A,150 min,8,71,Gareth Evans,Iko Uwais,Yayan Ruhian,Arifin Putra,Oka Antara,114316
2014,UA,114 min,8,73,Morten Tyldum,Benedict Cumberbatch,Keira Knightley,Matthew Goode,Allen Leech,685201
2014,UA,121 min,8,76,James Gunn,Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,1043455
2017,UA,164 min,8,81,Denis Villeneuve,Harrison Ford,Ryan Gosling,Ana de Armas,Dave Bautista,461823
2013,A,126 min,8,90,Spike Jonze,Joaquin Phoenix,Amy Adams,Scarlett Johansson,Rooney Mara,540772
2018,UA,134 min,8,49,Bryan Singer,Rami Malek,Lucy Boynton,Gwilym Lee,Ben Hardy,450349
2015,A,156 min,8,76,Alejandro G. Iñárritu,Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson,705589
2012,UA,103 min,8,67,Stephen Chbosky,Logan Lerman,Emma Watson,Ezra Miller,Paul Rudd,462252
2010,,115 min,8,71,José Padilha,Wagner Moura,Irandhir Santos,André Ramiro,Milhem Cortaz,79200
2010,U,118 min,8,88,Tom Hooper,Colin Firth,Geoffrey Rush,Helena Bonham Carter,Derek Jacobi,639603
2011,UA,146 min,8,62,Tate Taylor,Emma Stone,Viola Davis,Octavia Spencer,Bryce Dallas Howard,428521
2016,R,108 min,8,65,Tim Miller,Ryan Reynolds,Morena Baccarin,T.J. Miller,Ed Skrein,902669
2009,TV-PG,119 min,8,87,Asghar Farhadi,Golshifteh Farahani,Shahab Hosseini,Taraneh Alidoosti,Merila Zare'i,45803
2009,A,144 min,8,,Anurag Kashyap,Abhay Deol,Mahie Gill,Kalki Koechlin,Dibyendu Bhattacharya,28749
2008,R,106 min,8,59,Wilson Yip,Donnie Yen,Simon Yam,Siu-Wong Fan,Ka Tung Lam,211427
2010,UA,165 min,8,50,Karan Johar,Shah Rukh Khan,Kajol,Sheetal Menon,Katie A. Keane,98575
2009,,128 min,8,,Levent Semerci,Erdem Can,Mete Horozoglu,Ilker Kizmaz,Baris Bagci,31838
2008,UA,120 min,8,84,Danny Boyle,Loveleen Tandan,Dev Patel,Freida Pinto,Saurabh Shukla,798882
2010,A,108 min,8,79,Darren Aronofsky,Natalie Portman,Mila Kunis,Vincent Cassel,Winona Ryder,699673
2007,R,115 min,8,33,José Padilha,Wagner Moura,André Ramiro,Caio Junqueira,Milhem Cortaz,98097
2012,UA,143 min,8,69,Joss Whedon,Robert Downey Jr.,Chris Evans,Scarlett Johansson,Jeremy Renner,1260806
2007,PG-13,96 min,8,90,Vincent Paronnaud,Marjane Satrapi,Chiara Mastroianni,Catherine Deneuve,Gena Rowlands,88656
2013,R,117 min,8,80,Jean-Marc Vallée,Matthew McConaughey,Jennifer Garner,Jared Leto,Steve Zahn,441614
2006,U,117 min,8,64,Gabriele Muccino,Will Smith,Thandie Newton,Jaden Smith,Brian Howe,448930
2006,A,143 min,8,64,Edward Zwick,Leonardo DiCaprio,Djimon Hounsou,Jennifer Connelly,Kagiso Kuypers,499439
2007,UA,115 min,8,85,Paul Greengrass,Matt Damon,Edgar Ramírez,Joan Allen,Julia Stiles,604694
2004,U,88 min,8,72,Ki-duk Kim,Seung-Yun Lee,Hee Jae,Hyuk-ho Kwon,Jin-mo Joo,50610
2005,A,124 min,8,74,Frank Miller,Quentin Tarantino,Robert Rodriguez,Mickey Rourke,Clive Owen,738512
2007,PG-13,112 min,8,92,Julian Schnabel,Laura Obiols,Mathieu Amalric,Emmanuelle Seigner,Marie-Josée Croze,103284
2004,,127 min,8,,Ömer Faruk Sorak,Cem Yilmaz,Özge Özberk,Ozan Güven,Safak Sezer,56960
2007,U,111 min,8,96,Brad Bird,Jan Pinkava,Brad Garrett,Lou Romano,Patton Oswalt,641645
2006,PG-13,144 min,8,80,Martin Campbell,Daniel Craig,Eva Green,Judi Dench,Jeffrey Wright,582239
2004,A,137 min,8,83,Quentin Tarantino,Uma Thurman,David Carradine,Michael Madsen,Daryl Hannah,683900
2003,,110 min,8,82,Andrey Zvyagintsev,Vladimir Garin,Ivan Dobronravov,Konstantin Lavronenko,Nataliya Vdovina,42399
2003,R,103 min,8,85,Ki-duk Kim,Ki-duk Kim,Yeong-su Oh,Jong-ho Kim,Kim Young-Min,77520
2014,U,126 min,8,74,Alejandro Amenábar,Javier Bardem,Belén Rueda,Lola Dueñas,Mabel Rivera,77554
2005,UA,144 min,8,69,Ron Howard,Russell Crowe,Renée Zellweger,Craig Bierko,Paul Giamatti,176151
2003,U,186 min,8,54,Nikkhil Advani,Preity Zinta,Shah Rukh Khan,Saif Ali Khan,Jaya Bachchan,63460
2002,UA,101 min,8,75,Andrew Lau,Alan Mak,Andy Lau,Tony Chiu-Wai Leung,Anthony Chau-Sang Wong,117857
2003,UA,143 min,8,63,Gore Verbinski,Johnny Depp,Geoffrey Rush,Orlando Bloom,Keira Knightley,1015122
2003,U,125 min,8,58,Tim Burton,Ewan McGregor,Albert Finney,Billy Crudup,Jessica Lange,415218
2004,U,115 min,8,90,Brad Bird,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,Jason Lee,657047
2001,,137 min,8,,Jae-young Kwak,Tae-Hyun Cha,Jun Ji-Hyun,In-mun Kim,Song Wok-suk,45403
2003,R,178 min,8,60,Lars von Trier,Nicole Kidman,Paul Bettany,Lauren Bacall,Harriet Andersson,137963
2001,,110 min,8,,Yilmaz Erdogan,Ömer Faruk Sorak,Yilmaz Erdogan,Demet Akbag,Altan Erkekli,33592
2001,R,113 min,8,88,Richard Kelly,Jake Gyllenhaal,Jena Malone,Mary McDonnell,Holmes Osborne,740086
1999,R,188 min,8,77,Paul Thomas Anderson,Tom Cruise,Jason Robards,Julianne Moore,Philip Seymour Hoffman,289742
2000,U,140 min,8,61,Lars von Trier,Björk,Catherine Deneuve,David Morse,Peter Stormare,102285
1999,U,112 min,8,86,David Lynch,Richard Farnsworth,Sissy Spacek,Jane Galloway Heitz,Joseph A. Carpenter,82002
1997,A,81 min,8,,Satoshi Kon,Junko Iwao,Rica Matsumoto,Shinpachi Tsuji,Masaaki Ôkura,58192
1998,R,105 min,8,82,Thomas Vinterberg,Ulrich Thomsen,Henning Moritzen,Thomas Bo Larsen,Paprika Steen,78341
1998,R,110 min,8,80,Walter Salles,Fernanda Montenegro,Vinícius de Oliveira,Marília Pêra,Soia Lira,36419
1999,PG,86 min,8,85,Brad Bird,Eli Marienthal,Harry Connick Jr.,Jennifer Aniston,Vin Diesel,172083
1997,,87 min,8,,Thomas Jahn,Til Schweiger,Jan Josef Liefers,Thierry van Werveke,Moritz Bleibtreu,27721
1996,R,135 min,8,84,Billy Bob Thornton,Billy Bob Thornton,Dwight Yoakam,J.T. Walsh,John Ritter,86838
1996,U,136 min,8,91,Mike Leigh,Timothy Spall,Brenda Blethyn,Phyllis Logan,Claire Rushbrook,37564
1995,A,129 min,8,74,Terry Gilliam,Bruce Willis,Madeleine Stowe,Brad Pitt,Joseph Melito,578443
1995,UA,83 min,8,76,Mamoru Oshii,Atsuko Tanaka,Iemasa Kayumi,Akio Ôtsuka,Kôichi Yamadera,129231
1993,U,76 min,8,82,Henry Selick,Danny Elfman,Chris Sarandon,Catherine O'Hara,William Hickey,300208
1993,U,101 min,8,72,Harold Ramis,Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,577991
1993,R,180 min,8,47,Taylor Hackford,Damian Chapa,Jesse Borrego,Benjamin Bratt,Enrique Castillo,28825
1992,UA,156 min,8,59,Martin Brest,Al Pacino,Chris O'Donnell,James Rebhorn,Gabrielle Anwar,263918
1992,U,90 min,8,86,Ron Clements,John Musker,Scott Weinger,Robin Williams,Linda Larkin,373845
1991,UA,189 min,8,72,Oliver Stone,Kevin Costner,Gary Oldman,Jack Lemmon,Walter Matthau,142110
1991,G,84 min,8,95,Gary Trousdale,Kirk Wise,Paige O'Hara,Robby Benson,Jesse Corti,417178
1990,U,181 min,8,72,Kevin Costner,Kevin Costner,Mary McDonnell,Graham Greene,Rodney A. Grant,240266
1989,R,120 min,8,93,Spike Lee,Danny Aiello,Ossie Davis,Ruby Dee,Richard Edson,89429
1988,U,133 min,8,65,Barry Levinson,Dustin Hoffman,Tom Cruise,Valeria Golino,Gerald R. Molen,473064
1988,UA,124 min,8,,Katsuhiro Ôtomo,Mitsuo Iwata,Nozomu Sasaki,Mami Koyama,Tesshô Genda,164918
1987,U,98 min,8,77,Rob Reiner,Cary Elwes,Mandy Patinkin,Robin Wright,Chris Sarandon,393899
1987,U,128 min,8,79,Wim Wenders,Bruno Ganz,Solveig Dommartin,Otto Sander,Curt Bois,64722
1987,U,104 min,8,88,Louis Malle,Gaspard Manesse,Raphael Fejtö,Francine Racette,Stanislas Carré de Malberg,31163
1986,U,125 min,8,78,Hayao Miyazaki,Mayumi Tanaka,Keiko Yokozawa,Kotoe Hatsui,Minori Terada,150140
1984,UA,107 min,8,84,James Cameron,Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,Paul Winfield,799795
1982,U,191 min,8,79,Richard Attenborough,Ben Kingsley,John Gielgud,Rohini Hattangadi,Roshan Seth,217664
1980,U,180 min,8,84,Akira Kurosawa,Tatsuya Nakadai,Tsutomu Yamazaki,Ken'ichi Hagiwara,Jinpachi Nezu,32195
1979,PG,130 min,8,83,Hal Ashby,Peter Sellers,Shirley MacLaine,Melvyn Douglas,Jack Warden,65625
1977,A,93 min,8,92,Woody Allen,Woody Allen,Diane Keaton,Tony Roberts,Carol Kane,251823
1975,A,124 min,8,87,Steven Spielberg,Roy Scheider,Robert Shaw,Richard Dreyfuss,Lorraine Gary,543388
1975,U,125 min,8,86,Sidney Lumet,Al Pacino,John Cazale,Penelope Allen,Sully Boyar,235652
1974,A,106 min,8,80,Mel Brooks,Gene Wilder,Madeline Kahn,Marty Feldman,Peter Boyle,143359
1973,R,151 min,8,58,Franklin J. Schaffner,Steve McQueen,Dustin Hoffman,Victor Jory,Don Gordon,121627
1973,A,122 min,8,81,William Friedkin,Ellen Burstyn,Max von Sydow,Linda Blair,Lee J. Cobb,362393
1972,PG,138 min,8,,Joseph L. Mankiewicz,Laurence Olivier,Michael Caine,Alec Cawthorne,John Matthews,44748
1971,R,118 min,8,93,Peter Bogdanovich,Timothy Bottoms,Jeff Bridges,Cybill Shepherd,Ben Johnson,42456
1971,G,181 min,8,67,Norman Jewison,Topol,Norma Crane,Leonard Frey,Molly Picon,39491
1970,UA,113 min,8,100,Bernardo Bertolucci,Jean-Louis Trintignant,Stefania Sandrelli,Gastone Moschin,Enzo Tarascio,27067
1969,PG,110 min,8,66,George Roy Hill,Paul Newman,Robert Redford,Katharine Ross,Strother Martin,201888
1968,A,137 min,8,96,Roman Polanski,Mia Farrow,John Cassavetes,Ruth Gordon,Sidney Blackmer,193674
1968,U,112 min,8,79,Franklin J. Schaffner,Charlton Heston,Roddy McDowall,Kim Hunter,Maurice Evans,165167
1967,A,106 min,8,83,Mike Nichols,Dustin Hoffman,Anne Bancroft,Katharine Ross,William Daniels,253676
1966,A,131 min,8,75,Mike Nichols,Elizabeth Taylor,Richard Burton,George Segal,Sandy Dennis,68926
1965,U,172 min,8,63,Robert Wise,Julie Andrews,Christopher Plummer,Eleanor Parker,Richard Haydn,205425
1965,A,197 min,8,69,David Lean,Omar Sharif,Julie Christie,Geraldine Chaplin,Rod Steiger,69903
1964,A,99 min,8,65,Sergio Leone,Clint Eastwood,Gian Maria Volontè,Marianne Koch,Wolfgang Lukschy,198219
1963,,138 min,8,91,Federico Fellini,Marcello Mastroianni,Anouk Aimée,Claudia Cardinale,Sandra Milo,108844
1962,,80 min,8,,Jean-Luc Godard,Anna Karina,Sady Rebbot,André S. Labarthe,Guylaine Schlumberger,28057
1961,A,134 min,8,90,Robert Rossen,Paul Newman,Jackie Gleason,Piper Laurie,George C. Scott,75067
1960,A,174 min,8,95,Federico Fellini,Marcello Mastroianni,Anita Ekberg,Anouk Aimée,Yvonne Furneaux,66621
1959,Passed,141 min,8,93,Howard Hawks,John Wayne,Dean Martin,Ricky Nelson,Angie Dickinson,56305
1959,,161 min,8,95,Otto Preminger,James Stewart,Lee Remick,Ben Gazzara,Arthur O'Connell,59847
1958,PG-13,95 min,8,99,Orson Welles,Charlton Heston,Orson Welles,Janet Leigh,Joseph Calleia,98431
1958,A,108 min,8,84,Richard Brooks,Elizabeth Taylor,Paul Newman,Burl Ives,Jack Carson,45062
1957,Approved,96 min,8,100,Alexander Mackendrick,Burt Lancaster,Tony Curtis,Susan Harrison,Martin Milner,28137
